FIELDDESCRIPTION,,,Check Enabled,Check Enabled,Special Checks (NCCT),,,Watchlist/Searchlist usage,,,
101,36,Exchange Rate,X,X,0,0,0,2,2,0,0
102,20,File Reference,X,X,0,0,0,2,2,0,0
102,23,Bank Operation Code,X,X,0,0,0,2,2,0,0
102,50A,Ordering Customer,X,X,X,0,0,2,2,0,2
102,50F,Ordering Customer,X,X,0,0,0,2,2,0,0
102,50K,Ordering Customer,X,X,0,0,0,2,2,0,0
102,51A,Sending Institution,X,X,X,0,0,2,2,0,2
102,52A,Ordering Institution,X,X,X,0,0,2,2,0,2
102,52B,Ordering Institution,X,X,0,0,0,2,2,0,0
102,52C,Ordering Institution,X,X,0,0,0,2,2,0,0
102,26T,Transaction Type Code,X,X,0,0,0,2,2,0,0
102,77B,Regulatory Reporting,X,X,0,0,0,2,2,0,0
102,71A,Details of Charges,X,X,X,0,0,2,2,0,2
102,36,Exchange Rate,X,X,0,0,0,2,2,0,0
102,21,Transaction Reference,X,X,0,0,0,2,2,0,0
102,32B,Transaction Amount,X,X,0,0,0,2,2,0,0
102,57A,Account With Institution,X,X,X,0,0,2,2,0,2
102,57F,Account With Institution,X,X,0,0,0,2,2,0,0
102,59,Beneficiary,X,X,0,0,0,2,2,2,0
102,59A,Beneficiary,X,X,X,0,0,2,2,0,2
102,59F,Beneficiary,X,X,0,0,0,2,2,0,0
102,70,Remittance Information,X,X,0,0,0,2,2,0,0
102,26T,Transaction Type Code,X,X,0,0,0,2,2,0,0
102,77B,Regulatory Reporting,X,X,0,0,0,2,2,0,0
102,33B,Currency/Instructed Amount,X,X,0,0,0,2,2,0,0
102,71A,Details of Charges,X,X,X,0,0,2,2,0,2
102,71F,Sender's Charges,X,X,0,0,0,2,2,0,0
102,71G,Receiver's Charges,X,X,0,0,0,2,2,0,0
102,36,Exchange Rate,X,X,0,0,0,2,2,0,0
102,32A,"Value Date, Currency Code, Amount",X,X,X,0,0,2,2,0,2
102,19,Sum of Amounts,X,X,0,0,0,2,2,0,0
102,71G,Sum of Receiver's Charges,X,X,0,0,0,2,2,0,0
102,13C,Time Indication,X,X,0,0,0,2,2,0,0
102,53A,Sender's Correspondent,X,X,X,0,0,2,2,0,2
102,53C,Sender's Correspondent,X,X,0,0,0,2,2,0,0
102,54A,Receiver's Correspondent,X,X,X,0,0,2,2,0,2
102,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
103,20,Sender's Reference,X,X,0,0,0,2,2,0,0
103,13C,Time Indication,X,X,0,0,0,2,2,0,0
103,23B,Bank Operation Code,X,X,0,0,0,2,2,0,0
103,23E,Instruction Code,X,X,0,0,0,2,2,0,0
103,26T,Transaction Type Code,X,X,0,0,0,2,2,0,0
103,32A,Value Date/Currency/Interbank Settled Amount,X,X,X,0,0,2,2,0,2
103,33B,Currency/Instructed Amount,X,X,0,0,0,2,2,0,0
103,36,Exchange Rate,X,X,0,0,0,2,2,0,0
103,50A,Ordering Customer,X,X,X,0,0,2,2,0,2
103,50F,Ordering Customer,X,X,0,0,0,2,2,0,0
103,50K,Ordering Customer,X,X,0,0,0,2,2,0,0
103,51A,Sending Institution,X,X,X,0,0,2,2,0,2
103,52A,Ordering Institution,X,X,X,0,0,2,2,0,2
103,52D,Ordering Institution,X,X,0,0,0,2,2,0,0
103,53A,Sender's Correspondent,X,X,X,0,0,2,2,0,2
103,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
103,53D,Sender's Correspondent,X,X,0,0,0,2,2,0,0
103,54A,Receiver's Correspondent,X,X,X,0,0,2,2,0,2
103,54B,Receiver's Correspondent,X,X,0,0,0,2,2,0,0
103,54D,Receiver's Correspondent,X,X,0,0,0,2,2,0,0
103,55A,Third Reimbursement Institution,X,X,X,0,0,2,2,0,2
103,55B,Third Reimbursement Institution,X,X,0,0,0,2,2,0,0
103,55D,Third Reimbursement Institution,X,X,0,0,0,2,2,0,0
103,56A,Intermediary Institution,X,X,X,0,0,2,2,0,2
103,56B,Intermediary Institution,X,X,0,0,0,2,2,0,0
103,56D,Intermediary Institution,X,X,0,0,0,2,2,0,0
103,57A,Account With Institution,X,X,X,0,0,2,2,0,2
103,57B,Account With Institution,X,X,0,0,0,2,2,0,0
103,57C,Account With Institution,X,X,0,0,0,2,2,0,0
103,57D,Account With Institution,X,X,0,0,0,2,2,0,0
103,59,Beneficiary Customer,X,X,0,0,0,2,2,2,0
103,59A,Beneficiary Customer,X,X,X,0,0,2,2,0,2
103,59F,Beneficiary Customer,X,X,0,0,0,2,2,0,0
103,70,Remittance Information,X,X,0,0,0,2,2,0,0
103,71A,Details of Charges,X,X,X,0,0,2,2,0,2
103,71F,Sender's Charges,X,X,0,0,0,2,2,0,0
103,71G,Receiver's Charges,X,X,0,0,0,2,2,0,0
103,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
103,77B,Regulatory Reporting,X,X,0,0,0,2,2,0,0
104,20,Sender's Reference,X,X,0,0,0,2,2,0,0
104,21R,Customer Specified Reference,X,X,0,0,0,2,2,0,0
104,23E,Instruction Code,X,X,0,0,0,2,2,0,0
104,21E,Registration Reference,X,X,0,0,0,2,2,0,0
104,30,Requested Execution Date,X,X,0,0,0,2,2,0,0
104,51A,Sending Institution,X,X,X,0,0,2,2,0,2
104,50C,Instructing Party,X,X,0,0,0,2,2,0,0
104,50L,Instructing Party,X,X,0,0,0,2,2,0,0
104,50A,Creditor,X,X,X,0,0,2,2,0,2
104,50K,Creditor,X,X,0,0,0,2,2,0,0
104,52A,Creditor's Bank,X,X,X,0,0,2,2,0,2
104,52C,Creditor's Bank,X,X,0,0,0,2,2,0,0
104,52D,Creditor's Bank,X,X,0,0,0,2,2,0,0
104,26T,Transaction Type Code,X,X,0,0,0,2,2,0,0
104,77B,Regulatory Reporting,X,X,0,0,0,2,2,0,0
104,71A,Details of Charges,X,X,X,0,0,2,2,0,2
104,71F,Sender's Charges,X,X,0,0,0,2,2,0,0
104,71G,Receiver's Charges,X,X,0,0,0,2,2,0,0
104,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
104,21,Transaction Reference,X,X,0,0,0,2,2,0,0
104,23E,Instruction Code,X,X,0,0,0,2,2,0,0
104,21C,Mandate Reference,X,X,0,0,0,2,2,0,0
104,21D,Direct Debit Reference,X,X,0,0,0,2,2,0,0
104,21E,Registration Reference,X,X,0,0,0,2,2,0,0
104,32B,Currency and Transaction Amount,X,X,0,0,0,2,2,0,0
104,57A,Debtor's Bank,X,X,X,0,0,2,2,0,2
104,57C,Debtor's Bank,X,X,0,0,0,2,2,0,0
104,57D,Debtor's Bank,X,X,0,0,0,2,2,0,0
104,59,Debtor,X,X,0,0,0,2,2,2,0
104,59A,Debtor,X,X,X,0,0,2,2,0,2
104,70,Remittance Information,X,X,0,0,0,2,2,0,0
104,26T,Transaction Type Code,X,X,0,0,0,2,2,0,0
104,77B,Regulatory Reporting,X,X,0,0,0,2,2,0,0
104,33B,Currency/Original Ordered Amount,X,X,0,0,0,2,2,0,0
104,36,Exchange Rate,X,X,0,0,0,2,2,0,0
104,32B,Currency and Settlement Amount,X,X,0,0,0,2,2,0,0
104,19,Sum of Amounts,X,X,0,0,0,2,2,0,0
104,71F,Sum of Sender's Charges,X,X,0,0,0,2,2,0,0
104,71G,Sum of Receiver's Charges,X,X,0,0,0,2,2,0,0
104,53A,Sender's Correspondent,X,X,X,0,0,2,2,0,2
104,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
105,27,Sequence of Total,X,X,0,0,0,2,2,0,0
105,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
105,21,Related Reference,X,X,0,0,0,2,2,0,0
105,12,Sub-Message Type,X,X,0,0,0,2,2,0,0
105,77F,EDIFACT Message,X,X,0,0,0,2,2,0,0
106,27,Sequence of Total,X,X,0,0,0,2,2,0,0
106,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
106,21,Related Reference,X,X,0,0,0,2,2,0,0
106,12,Sub-Message Type,X,X,0,0,0,2,2,0,0
106,77G,EDIFACT Message,X,X,0,0,0,2,2,0,0
107,20,Sender's Reference,X,X,0,0,0,2,2,0,0
107,23E,Instruction Code,X,X,0,0,0,2,2,0,0
107,21E,Registration Reference,X,X,0,0,0,2,2,0,0
107,30,Requested Execution Date,X,X,0,0,0,2,2,0,0
107,51A,Sending Institution,X,X,X,0,0,2,2,0,2
107,50C,Instructing Party,X,X,0,0,0,2,2,0,0
107,50L,Instructing Party,X,X,0,0,0,2,2,0,0
107,50A,Creditor,X,X,X,0,0,2,2,0,2
107,50K,Creditor,X,X,0,0,0,2,2,0,0
107,52A,Creditor's Bank,X,X,X,0,0,2,2,0,2
107,52C,Creditor's Bank,X,X,0,0,0,2,2,0,0
107,52D,Creditor's Bank,X,X,0,0,0,2,2,0,0
107,26T,Transaction Type Code,X,X,0,0,0,2,2,0,0
107,77B,Regulatory Reporting,X,X,0,0,0,2,2,0,0
107,71A,Details of Charges,X,X,X,0,0,2,2,0,2
107,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
107,21,Transaction Reference,X,X,0,0,0,2,2,0,0
107,23E,Instruction Code,X,X,0,0,0,2,2,0,0
107,21C,Mandate Reference,X,X,0,0,0,2,2,0,0
107,21D,Direct Debit Reference,X,X,0,0,0,2,2,0,0
107,21E,Registration Reference,X,X,0,0,0,2,2,0,0
107,32B,Currency and Transaction Amount,X,X,0,0,0,2,2,0,0
107,57A,Debtor's Bank,X,X,X,0,0,2,2,0,2
107,57C,Debtor's Bank,X,X,0,0,0,2,2,0,0
107,57D,Debtor's Bank,X,X,0,0,0,2,2,0,0
107,59,Debtor,X,X,0,0,0,2,2,2,0
107,59A,Debtor,X,X,X,0,0,2,2,0,2
107,70,Remittance Information,X,X,0,0,0,2,2,0,0
107,26T,Transaction Type Code,X,X,0,0,0,2,2,0,0
107,77B,Regulatory Reporting,X,X,0,0,0,2,2,0,0
107,33B,Currency/Original Ordered Amount,X,X,0,0,0,2,2,0,0
107,71A,Details of Charges,X,X,X,0,0,2,2,0,2
107,71F,Sender's Charges,X,X,0,0,0,2,2,0,0
107,71G,Receiver's Charges,X,X,0,0,0,2,2,0,0
107,36,Exchange Rate,X,X,0,0,0,2,2,0,0
107,32B,Currency and Settlement Amount,X,X,0,0,0,2,2,0,0
107,19,Sum of Amounts,X,X,0,0,0,2,2,0,0
107,71F,Sum of Sender's Charges,X,X,0,0,0,2,2,0,0
107,71G,Sum of Receiver's Charges,X,X,0,0,0,2,2,0,0
107,53A,Sender's Correspondent,X,X,X,0,0,2,2,0,2
107,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
110,20,Sender's Reference,X,X,0,0,0,2,2,0,0
110,53A,Sender's Correspondent,X,X,X,0,0,2,2,0,2
110,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
110,53D,Sender's Correspondent,X,X,0,0,0,2,2,0,0
110,54A,Receiver's Correspondent,X,X,X,0,0,2,2,0,2
110,54B,Receiver's Correspondent,X,X,0,0,0,2,2,0,0
110,54D,Receiver's Correspondent,X,X,0,0,0,2,2,0,0
110,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
110,21,Cheque Number,X,X,0,0,0,2,2,0,0
110,30,Date of Issue,X,X,0,0,0,2,2,0,0
110,32A,Amount,X,X,X,0,0,2,2,0,2
110,32B,Amount,X,X,0,0,0,2,2,0,0
110,52A,Drawer Bank,X,X,X,0,0,2,2,0,2
110,52B,Drawer Bank,X,X,0,0,0,2,2,0,0
110,52D,Drawer Bank,X,X,0,0,0,2,2,0,0
110,59,Payee,X,X,0,0,0,2,2,2,0
111,20,Sender's Reference,X,X,0,0,0,2,2,0,0
111,21,Cheque Number,X,X,0,0,0,2,2,0,0
111,30,Date of Issue,X,X,0,0,0,2,2,0,0
111,32A,Amount,X,X,X,0,0,2,2,0,2
111,32B,Amount,X,X,0,0,0,2,2,0,0
111,52A,Drawer Bank,X,X,X,0,0,2,2,0,2
111,52B,Drawer Bank,X,X,0,0,0,2,2,0,0
111,52D,Drawer Bank,X,X,0,0,0,2,2,0,0
111,59,Payee,X,X,0,0,0,2,2,2,0
111,75,Queries,X,X,0,0,0,2,2,0,0
112,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
112,21,Cheque Number,X,X,0,0,0,2,2,0,0
112,30,Date of Issue,X,X,0,0,0,2,2,0,0
112,32A,Amount,X,X,X,0,0,2,2,0,2
112,32B,Amount,X,X,0,0,0,2,2,0,0
112,52A,Drawer Bank,X,X,X,0,0,2,2,0,2
112,52B,Drawer Bank,X,X,0,0,0,2,2,0,0
112,52D,Drawer Bank,X,X,0,0,0,2,2,0,0
112,59,Payee,X,X,0,0,0,2,2,2,0
112,76,Answers,X,X,0,0,0,2,2,0,0
190,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
190,21,Related Reference,X,X,0,0,0,2,2,0,0
190,25,Account Identification,X,X,0,0,0,2,2,0,0
190,32C,"Value Date, Currency Code, Amount",X,X,0,0,0,2,2,0,0
190,32D,"Value Date, Currency Code, Amount",X,X,0,0,0,2,2,0,0
190,52A,Ordering Institute,X,X,X,0,0,2,2,0,2
190,52D,Ordering Institute,X,X,0,0,0,2,2,0,0
190,71B,Details of Charges,X,X,0,0,0,2,2,0,0
190,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
191,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
191,21,Related Reference,X,X,0,0,0,2,2,0,0
191,32B,"Currency Code, Amount",X,X,0,0,0,2,2,0,0
191,52A,Ordering Institute,X,X,X,0,0,2,2,0,2
191,52D,Ordering Institute,X,X,0,0,0,2,2,0,0
191,57A,Account With Institution,X,X,X,0,0,2,2,0,2
191,57B,Account With Institution,X,X,0,0,0,2,2,0,0
191,57D,Account With Institution,X,X,0,0,0,2,2,0,0
191,71B,Details of Charges,X,X,0,0,0,2,2,0,0
191,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
192,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
192,21,Related Reference,X,X,0,0,0,2,2,0,0
192,11S,MT and Date of the Original Message,X,X,0,0,0,2,2,0,0
192,79,Narrative Description of the Original Message,X,X,0,0,0,2,2,0,0
195,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
195,21,Related Reference,X,X,0,0,0,2,2,0,0
195,75,Queries,X,X,0,0,0,2,2,0,0
195,77A,Narrative,X,X,X,0,0,2,2,0,2
195,11R,MT and Date of the Original Message,X,X,0,0,0,2,2,0,0
195,11S,MT and Date of the Original Message,X,X,0,0,0,2,2,0,0
195,79,Narrative Description of the Message to Which the Query Relates,X,X,0,0,0,2,2,0,0
196,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
196,21,Related Reference,X,X,0,0,0,2,2,0,0
196,76,Answers,X,X,0,0,0,2,2,0,0
196,77A,Narrative,X,X,X,0,0,2,2,0,2
196,11R,MT and Date of the Original Message,X,X,0,0,0,2,2,0,0
196,11S,MT and Date of the Original Message,X,X,0,0,0,2,2,0,0
196,79,Narrative Description of the Original Message to Which the Answer Relates,X,X,0,0,0,2,2,0,0
198,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
198,12,Sub-Message Type,X,X,0,0,0,2,2,0,0
198,77E,Proprietary Message,X,X,0,0,0,2,2,0,0
199,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
199,21,Related Reference,X,X,0,0,0,2,2,0,0
199,79,Narrative,X,X,0,0,0,2,2,0,0
200,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
200,32A,"Value Date, Currency Code, Amount",X,X,X,0,0,2,2,0,2
200,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
200,56A,Intermediary,X,X,X,0,0,2,2,0,2
200,56D,Intermediary,X,X,0,0,0,2,2,0,0
200,57A,Account With Institution,X,X,X,0,0,2,2,0,2
200,57B,Account With Institution,X,X,0,0,0,2,2,0,0
200,57D,Account With Institution,X,X,0,0,0,2,2,0,0
200,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
201,19,Sum of Amounts,X,X,0,0,0,2,2,0,0
201,30,Value Date,X,X,0,0,0,2,2,0,0
201,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
201,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
201,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
201,32B,"Currency Code, Amount",X,X,0,0,0,2,2,0,0
201,56A,Intermediary,X,X,X,0,0,2,2,0,2
201,56D,Intermediary,X,X,0,0,0,2,2,0,0
201,57A,Account With Institution,X,X,X,0,0,2,2,0,2
201,57B,Account With Institution,X,X,0,0,0,2,2,0,0
201,57D,Account With Institution,X,X,0,0,0,2,2,0,0
201,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
202,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
202,21,Related Reference,X,X,0,0,0,2,2,0,0
202,13C,Time Indication,X,X,0,0,0,2,2,0,0
202,32A,"Value Date, Currency Code, Amount",X,X,X,0,0,2,2,0,2
202,52A,Ordering Institution,X,X,X,0,0,2,2,0,2
202,52D,Ordering Institution,X,X,0,0,0,2,2,0,0
202,53A,Sender's Correspondent,X,X,X,0,0,2,2,0,2
202,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
202,53D,Sender's Correspondent,X,X,0,0,0,2,2,0,0
202,54A,Receiver's Correspondent,X,X,X,0,0,2,2,0,2
202,54B,Receiver's Correspondent,X,X,0,0,0,2,2,0,0
202,54D,Receiver's Correspondent,X,X,0,0,0,2,2,0,0
202,56A,Intermediary,X,X,X,0,0,2,2,0,2
202,56D,Intermediary,X,X,0,0,0,2,2,0,0
202,57A,Account With Institution,X,X,X,0,0,2,2,0,2
202,57B,Account With Institution,X,X,0,0,0,2,2,0,0
202,57D,Account With Institution,X,X,0,0,0,2,2,0,0
202,58A,Beneficiary Institution,X,X,X,0,0,2,2,0,2
202,58D,Beneficiary Institution,X,X,0,0,0,2,2,0,0
202,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
202 COV,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
202 COV,21,Related Reference,X,X,0,0,0,2,2,0,0
202 COV,13C,Time Indication,X,X,0,0,0,2,2,0,0
202 COV,32A,"Value Date, Currency Code, Amount",X,X,X,0,0,2,2,0,2
202 COV,52A,Ordering Institution,X,X,X,0,0,2,2,0,2
202 COV,52D,Ordering Institution,X,X,0,0,0,2,2,0,0
202 COV,53A,Sender's Correspondent,X,X,X,0,0,2,2,0,2
202 COV,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
202 COV,53D,Sender's Correspondent,X,X,0,0,0,2,2,0,0
202 COV,54A,Receiver's Correspondent,X,X,X,0,0,2,2,0,2
202 COV,54B,Receiver's Correspondent,X,X,0,0,0,2,2,0,0
202 COV,54D,Receiver's Correspondent,X,X,0,0,0,2,2,0,0
202 COV,56A,Intermediary,X,X,X,0,0,2,2,0,2
202 COV,56C,Intermediary,X,X,0,0,0,2,2,0,0
202 COV,56D,Intermediary,X,X,0,0,0,2,2,0,0
202 COV,57A,Account With Institution,X,X,X,0,0,2,2,0,2
202 COV,57B,Account With Institution,X,X,0,0,0,2,2,0,0
202 COV,57C,Account With Institution,X,X,0,0,0,2,2,0,0
202 COV,57D,Account With Institution,X,X,0,0,0,2,2,0,0
202 COV,58A,Beneficiary Institution,X,X,X,0,0,2,2,0,2
202 COV,58D,Beneficiary Institution,X,X,0,0,0,2,2,0,0
202 COV,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
202 COV,50A,Ordering Customer,X,X,X,0,0,2,2,0,2
202 COV,50F,Ordering Customer,X,X,0,0,0,2,2,0,0
202 COV,50K,Ordering Customer,X,X,0,0,0,2,2,0,0
202 COV,59,Beneficiary Customer,X,X,0,0,0,2,2,2,0
202 COV,59A,Beneficiary Customer,X,X,X,0,0,2,2,0,2
202 COV,59F,Beneficiary Customer,X,X,0,0,0,2,2,0,0
202 COV,70,Remittance Information,X,X,0,0,0,2,2,0,0
202 COV,33B,Currency/Instructed Amount,X,X,0,0,0,2,2,0,0
203,19,Sum of Amounts,X,X,0,0,0,2,2,0,0
203,30,Value Date,X,X,0,0,0,2,2,0,0
203,52A,Ordering Institution,X,X,X,0,0,2,2,0,2
203,52D,Ordering Institution,X,X,0,0,0,2,2,0,0
203,53A,Sender's Correspondent,X,X,X,0,0,2,2,0,2
203,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
203,53D,Sender's Correspondent,X,X,0,0,0,2,2,0,0
203,54A,Receiver's Correspondent,X,X,X,0,0,2,2,0,2
203,54B,Receiver's Correspondent,X,X,0,0,0,2,2,0,0
203,54D,Receiver's Correspondent,X,X,0,0,0,2,2,0,0
203,56A,Intermediary,X,X,X,0,0,2,2,0,2
203,56D,Intermediary,X,X,0,0,0,2,2,0,0
203,57A,Account With Institution,X,X,X,0,0,2,2,0,2
203,57B,Account With Institution,X,X,0,0,0,2,2,0,0
203,57D,Account With Institution,X,X,0,0,0,2,2,0,0
203,58A,Beneficiary Institution,X,X,X,0,0,2,2,0,2
203,58D,Beneficiary Institution,X,X,0,0,0,2,2,0,0
203,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
203,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
203,21,Related Reference,X,X,0,0,0,2,2,0,0
203,32B,"Currency Code, Amount",X,X,0,0,0,2,2,0,0
203,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
204,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
204,19,Sum of Amounts,X,X,0,0,0,2,2,0,0
204,30,Value Date,X,X,0,0,0,2,2,0,0
204,57A,Account With Institution,X,X,X,0,0,2,2,0,2
204,57B,Account With Institution,X,X,0,0,0,2,2,0,0
204,57D,Account With Institution,X,X,0,0,0,2,2,0,0
204,58A,Beneficiary Institution,X,X,X,0,0,2,2,0,2
204,58D,Beneficiary Institution,X,X,0,0,0,2,2,0,0
204,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
204,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
204,21,Related Reference,X,X,0,0,0,2,2,0,0
204,32B,Transaction Amount,X,X,0,0,0,2,2,0,0
204,53A,Sender's Correspondent,X,X,X,0,0,2,2,0,2
204,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
204,53D,Sender's Correspondent,X,X,0,0,0,2,2,0,0
204,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
205,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
205,21,Related Reference,X,X,0,0,0,2,2,0,0
205,13C,Time Indication,X,X,0,0,0,2,2,0,0
205,32A,"Value Date, Currency Code, Amount",X,X,X,0,0,2,2,0,2
205,52A,Ordering Institution,X,X,X,0,0,2,2,0,2
205,52D,Ordering Institution,X,X,0,0,0,2,2,0,0
205,53A,Sender's Correspondent,X,X,X,0,0,2,2,0,2
205,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
205,53D,Sender's Correspondent,X,X,0,0,0,2,2,0,0
205,56A,Intermediary,X,X,X,0,0,2,2,0,2
205,56D,Intermediary,X,X,0,0,0,2,2,0,0
205,57A,Account With Institution,X,X,X,0,0,2,2,0,2
205,57B,Account With Institution,X,X,0,0,0,2,2,0,0
205,57D,Account With Institution,X,X,0,0,0,2,2,0,0
205,58A,Beneficiary Institution,X,X,X,0,0,2,2,0,2
205,58D,Beneficiary Institution,X,X,0,0,0,2,2,0,0
205,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
206,20,Sender's Reference,X,X,0,0,0,2,2,0,0
206,28E,Message Index/Total,X,X,0,0,0,2,2,0,0
206,23E,Cheque Type,X,X,0,0,0,2,2,0,0
206,17A,Cheque Truncation Indicator,X,X,X,0,0,2,2,0,2
205 COV,20,Transaction Reference Number,X,X,0,0,0,2,2,0,0
205 COV,21,Related Reference,X,X,0,0,0,2,2,0,0
205 COV,13C,Time Indication,X,X,0,0,0,2,2,0,0
205 COV,32A,"Value Date, Currency Code, Amount",X,X,X,0,0,2,2,0,2
205 COV,52A,Ordering Institution,X,X,X,0,0,2,2,0,2
205 COV,52D,Ordering Institution,X,X,0,0,0,2,2,0,0
205 COV,53A,Sender's Correspondent,X,X,X,0,0,2,2,0,2
205 COV,53B,Sender's Correspondent,X,X,0,0,0,2,2,0,0
205 COV,53D,Sender's Correspondent,X,X,0,0,0,2,2,0,0
205 COV,56A,Intermediary,X,X,X,0,0,2,2,0,2
205 COV,56C,Intermediary,X,X,0,0,0,2,2,0,0
205 COV,56D,Intermediary,X,X,0,0,0,2,2,0,0
205 COV,57A,Account With Institution,X,X,X,0,0,2,2,0,2
205 COV,57B,Account With Institution,X,X,0,0,0,2,2,0,0
205 COV,57C,Account With Institution,X,X,0,0,0,2,2,0,0
205 COV,57D,Account With Institution,X,X,0,0,0,2,2,0,0
205 COV,58A,Beneficiary Institution,X,X,X,0,0,2,2,0,2
205 COV,58D,Beneficiary Institution,X,X,0,0,0,2,2,0,0
205 COV,72,Sender to Receiver Information,X,X,0,0,0,2,2,2,0
205 COV,50A,Ordering Customer,X,X,X,0,0,2,2,0,2
205 COV,50F,Ordering Customer,X,X,0,0,0,2,2,0,0
205 COV,50K,Ordering Customer,X,X,0,0,0,2,2,0,0
205 COV,59,Beneficiary Customer,X,X,0,0,0,2,2,2,0
205 COV,59A,Beneficiary Customer,X,X,X,0,0,2,2,0,2
205 COV,59F,Beneficiary Customer,X,X,0,0,0,2,2,0,0
205 COV,70,Remittance Information,X,X,0,0,0,2,2,0,0
